순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
281,192400,쿠쿠홀딩스,"88,600","2,100","2.4","3,849","336,244,400","85,800","88,700","85,600","630,161,918,200","0.04","7,112,437",,,
282,000150,두산,"37,800","200","0.5","74,834","2,841,562,050","37,650","38,500","37,650","624,600,963,000","0.04","16,523,835",,,
283,008490,서흥,"53,700","0","0.0","103,072","5,468,515,800","54,100","54,100","51,900","621,261,368,100","0.04","11,569,113",,,
284,014820,동원시스템즈,"24,150","150","0.6","16,700","403,103,750","24,200","24,450","23,650","618,687,040,650","0.04","25,618,511",,,
285,230360,에코마케팅,"38,000","-100","-0.3","114,249","4,332,645,200","38,000","38,200","37,500","615,559,606,000","0.04","16,198,937",,,
286,007390,네이처셀,"10,050","140","1.4","815,868","8,137,115,710","9,920","10,100","9,810","614,963,509,950","0.04","61,190,399",,,
287,151910,나노스,"4,135","-20","-0.5","112,752","465,674,980","4,150","4,215","4,060","614,565,809,845","0.04","148,625,347",,,
288,090435,아모레퍼시픽우,"58,200","500","0.9","34,779","2,031,602,200","58,400","58,900","57,800","614,465,706,000","0.04","10,557,830",,,
289,005610,SPC삼립,"70,700","500","0.7","11,979","841,192,800","70,100","70,800","69,500","610,070,936,300","0.04","8,629,009",,,
290,001120,LG상사,"15,700","50","0.3","426,646","6,748,380,750","15,750","16,150","15,500","608,532,000,000","0.04","38,760,000",,,
291,066970,엘앤에프,"24,350","750","3.2","427,767","10,255,521,450","23,700","24,450","23,600","602,875,051,150","0.04","24,758,729",,,
292,090460,비에이치,"18,300","850","4.9","913,265","16,569,543,650","17,550","18,400","17,550","601,171,287,000","0.04","32,850,890",,,
293,086520,에코프로,"27,200","2,800","11.5","1,350,576","35,492,638,150","24,750","27,200","24,650","600,853,195,200","0.04","22,090,191",,,
294,001630,종근당홀딩스,"119,500","0","0.0","30,316","3,576,031,000","118,000","119,500","116,500","598,678,389,500","0.04","5,009,861",,,
295,017810,풀무원,"15,650","200","1.3","431,178","6,776,040,850","15,500","16,200","14,950","596,123,367,500","0.04","38,090,950",,,
296,064960,S&T모티브,"40,450","450","1.1","38,172","1,530,914,600","39,900","40,550","39,200","591,505,851,200","0.04","14,623,136",,,
297,097520,엠씨넥스,"33,050","1,050","3.3","568,634","18,649,669,950","32,050","33,300","32,050","590,388,080,100","0.04","17,863,482",,,
298,002350,넥센타이어,"6,030","140","2.4","190,694","1,144,241,060","5,890","6,050","5,870","588,937,298,310","0.04","97,667,877",,,
299,065660,안트로젠,"66,800","3,400","5.4","1,116,690","74,677,162,100","62,800","69,900","61,400","586,188,503,600","0.04","8,775,277",,,
300,009970,영원무역홀딩스,"42,900","1,250","3.0","5,185","219,395,400","43,000","43,000","41,250","584,966,896,800","0.04","13,635,592",,,
301,032620,유비케어,"11,150","250","2.3","3,020,914","33,229,256,850","10,900","11,250","10,700","581,998,099,850","0.03","52,197,139",,,
302,058820,CMG제약,"4,185","110","2.7","2,033,200","8,444,035,115","4,080","4,215","4,080","581,264,041,140","0.03","138,892,244",,,
303,000640,동아쏘시오홀딩스,"94,200","4,300","4.8","7,644","709,509,000","90,100","94,300","90,100","578,227,577,400","0.03","6,138,297",,,
304,298020,효성티앤씨,"133,000","1,500","1.1","12,075","1,590,484,000","131,500","134,500","131,000","575,581,706,000","0.03","4,327,682",,,
305,103140,풍산,"20,500","700","3.5","166,684","3,404,598,200","20,200","20,600","20,150","574,497,699,000","0.03","28,024,278",,,
306,101490,에스앤에스텍,"29,100","1,700","6.2","933,177","26,858,131,150","27,800","29,550","27,750","574,298,132,100","0.03","19,735,331",,,
307,039130,하나투어,"41,100","500","1.2","62,607","2,567,353,450","40,700","41,450","40,500","572,900,503,500","0.03","13,939,185",,,
308,012630,HDC,"9,510","10","0.1","639,080","6,110,792,340","9,660","9,810","9,450","568,143,766,710","0.03","59,741,721",,,
309,001820,삼화콘덴서,"54,600","900","1.7","106,361","5,798,321,700","54,000","55,200","54,000","567,567,000,000","0.03","10,395,000",,,
310,092040,아미코젠,"29,400","1,050","3.7","190,305","5,496,898,050","28,400","29,400","27,750","564,686,094,000","0.03","19,207,010",,,
311,053800,안랩,"56,200","900","1.6","71,614","3,993,655,300","55,200","56,200","54,800","562,778,651,000","0.03","10,013,855",,,
312,271980,제일약품,"37,850","-350","-0.9","275,137","10,398,348,900","38,500","38,900","37,150","556,579,405,200","0.03","14,704,872",,,
313,122870,와이지엔터테인먼트,"30,450","850","2.9","685,513","21,136,256,450","30,650","31,850","30,100","554,305,984,050","0.03","18,203,809",,,
314,083790,크리스탈,"13,050","650","5.2","696,288","9,012,739,950","12,400","13,200","12,300","552,808,948,950","0.03","42,360,839",,,
